Week,SLOT,NETWORK
1,MONN,ESP
1,SUND,CBS
1,SUND,FOX
1,SUNE,CBS
1,SUNE,FOX
1,SUNL,CBS
1,SUNL,FOX
1,SUNN,NBC
1,THUN,NBC
2,MONN,ESP
2,SUND,CBS
2,SUND,FOX
2,SUNE,CBS
2,SUNE,FOX
2,SUNL,CBS
2,SUNL,FOX
2,SUNN,NBC
2,THUN,NFL
3,MONN,ESP
3,SUND,CBS
3,SUND,FOX
3,SUNE,CBS
3,SUNE,FOX
3,SUNL,CBS
3,SUNL,FOX
3,SUNN,NBC
3,THUN,NFL
4,MONN,ESP
4,SUNB,BYE
4,SUND,CBS
4,SUND,FOX
4,SUNE,CBS
4,SUNE,FOX
4,SUNL,CBS
4,SUNL,FOX
4,SUNN,NBC
4,THUN,FOX
5,MONN,ESP
5,SUNB,BYE
5,SUND,CBS
5,SUND,FOX
5,SUNE,CBS
5,SUNE,FOX
5,SUNL,CBS
5,SUNL,FOX
5,SUNN,NBC
5,THUN,FOX
6,MONN,ESP
6,SUNB,BYE
6,SUND,CBS
6,SUND,FOX
6,SUNI,INT
6,SUNE,CBS
6,SUNE,FOX
6,SUNL,CBS
6,SUNL,FOX
6,SUNN,NBC
6,THUN,FOX
7,MONN,ESP
7,SUNB,BYE
7,SUND,CBS
7,SUND,FOX
7,SUNE,CBS
7,SUNE,FOX
7,SUNI,INT
7,SUNL,CBS
7,SUNL,FOX
7,SUNN,NBC
7,THUN,FOX
8,MONN,ESP
8,SUNB,BYE
8,SUND,CBS
8,SUND,FOX
8,SUNE,CBS
8,SUNE,FOX
8,SUNI,INT
8,SUNL,CBS
8,SUNL,FOX
8,SUNN,NBC
8,THUN,FOX
9,MONN,ESP
9,SUNB,BYE
9,SUND,CBS
9,SUND,FOX
9,SUNE,CBS
9,SUNE,FOX
9,SUNL,CBS
9,SUNL,FOX
9,SUNN,NBC
9,THUN,FOX
10,MONN,ESP
10,SUNB,BYE
10,SUND,CBS
10,SUND,FOX
10,SUNE,CBS
10,SUNE,FOX
10,SUNL,CBS
10,SUNL,FOX
10,SUNN,NBC
10,THUN,FOX
11,MONN,ESP
11,SUNB,BYE
11,SUND,CBS
11,SUND,FOX
11,SUNE,CBS
11,SUNE,FOX
11,SUNL,CBS
11,SUNL,FOX
11,SUNN,NBC
11,THUN,FOX
12,MONN,ESP
12,SUND,CBS
12,SUND,FOX
12,SUNB,BYE
12,SUNE,CBS
12,SUNE,FOX
12,SUNL,CBS
12,SUNL,FOX
12,SUNN,NBC
12,THUE,CBS
12,THUL,FOX
12,THUN,NBC
13,MONN,ESP
13,SUND,CBS
13,SUND,FOX
13,SUNE,CBS
13,SUNE,FOX
13,SUNL,CBS
13,SUNL,FOX
13,SUNN,NBC
13,THUN,FOX
14,MONN,ESP
14,SUND,CBS
14,SUND,FOX
14,SUNE,CBS
14,SUNE,FOX
14,SUNL,CBS
14,SUNL,FOX
14,SUNN,NBC
14,THUN,FOX
15,MONN,ESP
15,SATE,NFL
15,SATL,NFL
15,SUND,CBS
15,SUND,FOX
15,SUNE,CBS
15,SUNE,FOX
15,SUNL,CBS
15,SUNL,FOX
15,SUNN,NBC
15,THUN,FOX
16,MONN,ESP
16,SATE,NFL
16,SATL,NFL
16,SUND,CBS
16,SUND,FOX
16,SUNE,CBS
16,SUNE,FOX
16,SUNL,CBS
16,SUNL,FOX
16,SUNN,NBC
17,SUND,CBS
17,SUND,FOX
17,SUNE,CBS
17,SUNE,FOX
17,SUNL,CBS
17,SUNL,FOX
