TEAM,CONF,DIV,TIMEZONE,QUALITY
BAL,AFC,NORTH,1,0
CIN,AFC,NORTH,1,0
CLE,AFC,NORTH,1,0
HOU,AFC,SOUTH,2,0
IND,AFC,SOUTH,1,0
LAC,AFC,WEST,4,0
TB,NFC,SOUTH,1,0
TEN,AFC,SOUTH,2,0
BUF,AFC,EAST,1,1
CAR,NFC,SOUTH,1,1
DET,NFC,NORTH,1,1
JAC,AFC,SOUTH,1,1
KC,AFC,WEST,2,1
MIA,AFC,EAST,1,1
MIN,NFC,NORTH,2,2
NYJ,AFC,EAST,1,1
ARI,NFC,WEST,3,1
ATL,NFC,SOUTH,1,2
LAR,NFC,WEST,4,2
NO,NFC,SOUTH,2,2
OAK,AFC,WEST,4,2
PHI,NFC,EAST,1,2
SF,NFC,WEST,4,2
WAS,NFC,EAST,1,2
CHI,NFC,NORTH,2,3
DAL,NFC,EAST,2,3
DEN,AFC,WEST,3,3
GB,NFC,NORTH,2,3
NE,AFC,EAST,1,3
NYG,NFC,EAST,1,3
PIT,AFC,NORTH,1,3
SEA,NFC,WEST,4,3
